time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,25,9,0,0
2026-04-10 00:00:00+00:00,28,13,0,0
2026-04-11 00:00:00+00:00,18,7,0,0
2026-04-12 00:00:00+00:00,35,12,0,0
2026-04-13 00:00:00+00:00,34,10,0,0
2026-04-14 00:00:00+00:00,17,5,0,0
2026-04-15 00:00:00+00:00,11,6,0,0
2026-04-16 00:00:00+00:00,37,10,0,0
2026-04-17 00:00:00+00:00,50,19,0,0
2026-04-18 00:00:00+00:00,9,7,0,0
2026-04-19 00:00:00+00:00,12,8,0,0
2026-04-20 00:00:00+00:00,44,20,0,0
2026-04-21 00:00:00+00:00,43,20,0,0
2026-04-22 00:00:00+00:00,57,21,0,0
