time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,9,4,0,0
2026-02-11 00:00:00+00:00,9,3,1,1
2026-02-12 00:00:00+00:00,17,10,2,1
2026-02-13 00:00:00+00:00,11,9,17,1
2026-02-14 00:00:00+00:00,322,64,96,2
2026-02-15 00:00:00+00:00,103,41,24,1
2026-02-16 00:00:00+00:00,73,21,9,1
2026-02-17 00:00:00+00:00,46,14,10,2
2026-02-18 00:00:00+00:00,190,42,37,2
2026-02-19 00:00:00+00:00,111,28,2,1
2026-02-20 00:00:00+00:00,22,14,1,1
2026-02-21 00:00:00+00:00,13,8,0,0
2026-02-22 00:00:00+00:00,13,8,0,0
2026-02-23 00:00:00+00:00,10,8,0,0
